1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1174
21,1415
22,1692
23,1927
24,1936
25,1884
26,1883
27,1723
28,1619
29,1489
30,1400
31,1258
32,1188
33,1035
34,1026
35,974
36,933
37,786
38,777
39,723
40,681
41,670
42,655
43,669
44,656
45,635
46,626
47,609
48,583
49,634
50,597
51,531
52,536
53,532
54,474
55,514
56,468
57,469
58,419
59,424
60,416
61,391
62,358
63,375
64,346
65,290
66,308
67,298
68,284
69,239
70,230
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1174
21,1415
22,1692
23,1927
24,1936
25,1884
26,1883
27,1723
28,1619
29,1489
30,1400
31,1258
32,1188
33,1035
34,1026
35,974
36,933
37,786
38,777
39,723
40,681
41,670
42,655
43,669
44,656
45,635
46,626
47,609
48,583
49,634
50,597
51,531
52,536
53,532
54,474
55,514
56,468
57,469
58,419
59,424
60,416
61,391
62,358
63,375
64,346
65,290
66,308
67,298
68,284
69,239
70,230
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
