0,0
1,1123
2,482
3,289
4,273
5,196
6,131
7,139
8,263
9,166
10,156
11,65
12,130
13,81
14,157
15,177
16,247
17,158
18,262
19,98
20,284
21,346
22,395
23,426
24,859
25,734
26,2197
27,615
28,918
29,570
30,724
31,350
32,664
33,143
34,409
35,880
36,483
37,293
38,325
39,266
40,526
41,132
42,266
43,157
44,100
45,440
46,153
47,170
48,153
49,148
50,381
51,138
52,232
53,241
54,353
55,268
56,236
57,97
58,271
59,82
60,293
61,161
62,125
63,103
64,50
65,259
66,77
67,94
68,100
69,56
70,147
71,33
72,98
73,63
74,32
75,148
76,58
77,28
78,69
79,23
80,133
81,22
82,40
83,18
84,24
85,155
86,35
87,10
88,34
89,33
90,82
91,2
92,13
93,5
94,0
95,9
96,17
97,0
98,0
99,9
100,11
101,2
102,0
103,1
104,0
105,5
106,0
107,0
108,0
109,0
110,5
111,1
112,0
113,0
114,0
115,3
116,4
