0,0
1,2246
2,964
3,578
4,546
5,392
6,262
7,278
8,526
9,332
10,624
11,260
12,520
13,324
14,628
15,708
16,988
17,632
18,1048
19,392
20,284
21,346
22,395
23,426
24,859
25,734
26,2197
27,615
28,918
29,570
30,1448
31,700
32,1328
33,286
34,818
35,1760
36,966
37,586
38,650
39,532
40,1578
41,396
42,798
43,471
44,300
45,1320
46,459
47,510
48,459
49,444
50,1143
51,414
52,696
53,723
54,1059
55,804
56,708
57,291
58,813
59,246
60,1172
61,644
62,500
63,412
64,200
65,1036
66,308
67,376
68,400
69,224
70,588
71,132
72,392
73,252
74,128
75,592
76,232
77,112
78,276
79,92
80,532
81,88
82,160
83,72
84,96
85,620
86,140
87,40
88,136
89,132
90,328
91,8
92,52
93,20
94,0
95,36
96,68
97,0
98,0
99,36
100,44
101,8
102,0
103,4
104,0
105,20
106,0
107,0
108,0
109,0
110,20
111,4
112,0
113,0
114,0
115,12
116,0
